频道,#genre#
神医喜来乐,http://cn5.frp.vip:20007/yy/1382714119
武林外传,http://cn5.frp.vip:20007/yy/1354752120
【战狼3吴京】首播,http://cn5.frp.vip:20007/yy/1456668939
【济公】游本昌,http://cn5.frp.vip:20007/yy/25519088
斗破苍穹玄幻剧,http://cn5.frp.vip:20007/yy/1356051105
超级吓人gui片 group-title="YY直播",http://cn5.frp.vip:20007/yy/1355641195
隋唐英雄传 蓝光,http://cn5.frp.vip:20007/yy/1352475619
幸福满院,http://cn5.frp.vip:20007/yy/1382737886
超喜剧地下交通站男神贾贵,http://cn5.frp.vip:20007/yy/1353428972
【新三国】蓝光版,http://cn5.frp.vip:20007/yy/1382705738
知否知否应是绿肥红瘦,http://cn5.frp.vip:20007/yy/21881901
绝版电影 600部,http://cn5.frp.vip:20007/yy/1382764593
正阳门下,http://cn5.frp.vip:20007/yy/1354931580
康熙微服私访记,http://cn5.frp.vip:20007/yy/1352811698
林正英-经典电影,http://cn5.frp.vip:20007/yy/34229877
倚天屠龙记,http://cn5.frp.vip:20007/yy/1449856066
举起手来-惊险抗日,http://cn5.frp.vip:20007/yy/1382736877
抗日奇侠 首播,http://cn5.frp.vip:20007/yy/39204655
情满四合院,http://cn5.frp.vip:20007/yy/30736888
【战狼4】吴京老师,http://cn5.frp.vip:20007/yy/1354784284
赵本山《超清版》,http://cn5.frp.vip:20007/yy/1382683959
我的兄弟叫宝强,http://cn5.frp.vip:20007/yy/1354752117
少年包青天1-3蓝光版,http://cn5.frp.vip:20007/yy/38498680
朱元璋电视剧,http://cn5.frp.vip:20007/yy/1382765235
雍正王朝,http://cn5.frp.vip:20007/yy/26650882
经典港片800部,http://cn5.frp.vip:20007/yy/1382800018
绝版电影 女gui,http://cn5.frp.vip:20007/yy/1454587259
电影 古惑仔全集,http://cn5.frp.vip:20007/yy/1354507447
笑傲江湖 4K超清,http://cn5.frp.vip:20007/yy/1354282410
【火蓝刀锋】臭鱼,http://cn5.frp.vip:20007/yy/1354784966
我和僵尸有个约会,http://cn5.frp.vip:20007/yy/1354143966
宰相刘罗锅,http://cn5.frp.vip:20007/yy/1353892468
燕双鹰,http://cn5.frp.vip:20007/yy/1354143942
恐怖gui片,http://cn5.frp.vip:20007/yy/1355485328
gui片group-title="YY直播" 美女陪你看,http://cn5.frp.vip:20007/yy/1335509613
雍正王朝 高清 护眼版,http://cn5.frp.vip:20007/yy/23206872
YY恐怖电影,http://cn5.frp.vip:20007/yy/24066336
封神榜,http://cn5.frp.vip:20007/yy/1353426319
放羊的星星,http://cn5.frp.vip:20007/yy/1355260662
武侠电视剧,http://cn5.frp.vip:20007/yy/1459331991
大秧歌,http://cn5.frp.vip:20007/yy/1460463356
纪晓岚,http://cn5.frp.vip:20007/yy/1352227227
英叔僵尸 3000部,http://cn5.frp.vip:20007/yy/1353685311
经典gui片3000部,http://cn5.frp.vip:20007/yy/29460894
【赌神片 动作片 港片】,http://cn5.frp.vip:20007/yy/1355112116
港片电影集,http://cn5.frp.vip:20007/yy/1455225203
新白娘子传奇,http://cn5.frp.vip:20007/yy/1354490667
济公游记,http://cn5.frp.vip:20007/yy/1355265814
动漫,http://cn5.frp.vip:20007/yy/25055036
宰相刘罗锅,http://cn5.frp.vip:20007/yy/1382745191
动漫,http://cn5.frp.vip:20007/yy/26664495
港片电影,http://cn5.frp.vip:20007/yy/33897188
高分经典电影,http://cn5.frp.vip:20007/yy/1382754187
狄仁杰,http://cn5.frp.vip:20007/yy/1351755386
83射雕英雄传,http://cn5.frp.vip:20007/yy/1354210357
丫头动漫 斗罗斗破,http://cn5.frp.vip:20007/yy/1458722520
东北一家人,http://cn5.frp.vip:20007/yy/1355273385
【新三国】萌儿陪看,http://cn5.frp.vip:20007/yy/29216766
66车讯,http://cn5.frp.vip:20007/yy/1382571192
【战狼3吴京】独播,http://cn5.frp.vip:20007/yy/37999586
雪中悍刀行,http://cn5.frp.vip:20007/yy/1382660835
速度与激情全集,http://cn5.frp.vip:20007/yy/1382749892
港片gui片电影,http://cn5.frp.vip:20007/yy/1355364378
【二炮手】孙红雷,http://cn5.frp.vip:20007/yy/1354330324
欢乐集结号-每天笑不停,http://cn5.frp.vip:20007/yy/1382741642
《仙侠》开局无敌了,http://cn5.frp.vip:20007/yy/29600150
吕小羊gui片 正在直播,http://cn5.frp.vip:20007/yy/1354792118
林正英 僵尸 gui片,http://cn5.frp.vip:20007/yy/1351505899
进来 陪你看动漫,http://cn5.frp.vip:20007/yy/1352866135
神雕侠侣,http://cn5.frp.vip:20007/yy/1351762426
赵本山《蓝光版》,http://cn5.frp.vip:20007/yy/32160832
《石敢当》六耳猕猴,http://cn5.frp.vip:20007/yy/1394156613
鹿鼎记-周星驰版,http://cn5.frp.vip:20007/yy/1354658049
武林外传爆笑全场,http://cn5.frp.vip:20007/yy/1355269576
进来 陪你看电视,http://cn5.frp.vip:20007/yy/1353518742
泡芙陪你看电影,http://cn5.frp.vip:20007/yy/24407222
经典gui片 绝版好看,http://cn5.frp.vip:20007/yy/1353850051
叶问全集,http://cn5.frp.vip:20007/yy/1382828771
吴京首播【战狼3】,http://cn5.frp.vip:20007/yy/1354330332
天龙八部,http://cn5.frp.vip:20007/yy/1351814644
国内外惊悚group-title="YY直播",http://cn5.frp.vip:20007/yy/1356075281
纪晓岚专属,http://cn5.frp.vip:20007/yy/63826933
燕双鹰,http://cn5.frp.vip:20007/yy/1352227153
港片gui片全集,http://cn5.frp.vip:20007/yy/1459869766
爆笑小品,http://cn5.frp.vip:20007/yy/1354931503
经典电影,http://cn5.frp.vip:20007/yy/1355142167
火蓝刀锋,http://cn5.frp.vip:20007/yy/1382737892
武工队传奇,http://cn5.frp.vip:20007/yy/1354790484
天龙八部蓝光,http://cn5.frp.vip:20007/yy/1355652820
相亲交友电影频道,http://cn5.frp.vip:20007/yy/1453996620
【炊事班的故事】下饭剧,http://cn5.frp.vip:20007/yy/1382656457
港片赌片 3000部,http://cn5.frp.vip:20007/yy/1355076627
燕双鹰系列,http://cn5.frp.vip:20007/yy/1457622044
探案！探案！,http://cn5.frp.vip:20007/yy/1382829413
神探狄仁杰2,http://cn5.frp.vip:20007/yy/1382828767
【血色浪漫】经典回顾,http://cn5.frp.vip:20007/yy/33369999
火凤凰之战狼七,http://cn5.frp.vip:20007/yy/1463088777
gui片赌片经典电影,http://cn5.frp.vip:20007/yy/1351496216
真实案件系列,http://cn5.frp.vip:20007/yy/1382671124
新主播，求照顾,http://cn5.frp.vip:20007/yy/29197808
狄仁杰等你哦,http://cn5.frp.vip:20007/yy/1457579747
24H国漫热播,http://cn5.frp.vip:20007/yy/1353937086
倚天屠龙记,http://cn5.frp.vip:20007/yy/1354755003
布丁-玄幻电影正在直播,http://cn5.frp.vip:20007/yy/1455460998
【港片】赌片 动作,http://cn5.frp.vip:20007/yy/24921161
武林外传,http://cn5.frp.vip:20007/yy/1353852605
少年包青天-蓝光版,http://cn5.frp.vip:20007/yy/1456630506
狂飙 蓝光,http://cn5.frp.vip:20007/yy/1382787686
小兵张嘎,http://cn5.frp.vip:20007/yy/1354930225
西游记后传 蓝光,http://cn5.frp.vip:20007/yy/1353392400
星爷经典-百看不厌,http://cn5.frp.vip:20007/yy/1382736808
新白娘子传奇-女神赵雅芝,http://cn5.frp.vip:20007/yy/1354930969
父母爱情,http://cn5.frp.vip:20007/yy/1354926650
古惑仔全集,http://cn5.frp.vip:20007/yy/1460889796
港剧悬疑破案,http://cn5.frp.vip:20007/yy/10425097
御龙修仙传4,http://cn5.frp.vip:20007/yy/1355268573
鹿鼎记-高清全集,http://cn5.frp.vip:20007/yy/1382704650
惊恐gui怪盗暮,http://cn5.frp.vip:20007/yy/1382749525
敢死队-精彩动作电影,http://cn5.frp.vip:20007/yy/1382735573
少年包青天第三部,http://cn5.frp.vip:20007/yy/1382736814
好先生,http://cn5.frp.vip:20007/yy/79382500
雪中悍刀行,http://cn5.frp.vip:20007/yy/1354943110
神探狄仁杰1,http://cn5.frp.vip:20007/yy/1354930934
【成龙经典】动作,http://cn5.frp.vip:20007/yy/34460526
燕双鹰专场,http://cn5.frp.vip:20007/yy/23026835
笑傲江湖,http://cn5.frp.vip:20007/yy/1354930909
【神雕侠侣】金庸经典,http://cn5.frp.vip:20007/yy/1382704651
【动漫】斗罗斗破超清全屏,http://cn5.frp.vip:20007/yy/28796627
少年包青天,http://cn5.frp.vip:20007/yy/1382651363
斗罗斗破,http://cn5.frp.vip:20007/yy/1354768828
薛元帅传奇,http://cn5.frp.vip:20007/yy/31313785
24灌篮高手正在直播,http://cn5.frp.vip:20007/yy/1350984033
破案港剧,http://cn5.frp.vip:20007/yy/1350670730
经典动漫,http://cn5.frp.vip:20007/yy/22777075
神探狄仁杰,http://cn5.frp.vip:20007/yy/38338029
雪儿动漫,http://cn5.frp.vip:20007/yy/1354143938
少年歌行【蓝光】,http://cn5.frp.vip:20007/yy/1450556636
吃鱼了,http://cn5.frp.vip:20007/yy/1382764587
妹子高分搞笑电影,http://cn5.frp.vip:20007/yy/33478222
新三国,http://cn5.frp.vip:20007/yy/26744898
【电影】超然巨作,http://cn5.frp.vip:20007/yy/29170933
天道-9.2高分好剧,http://cn5.frp.vip:20007/yy/1382735574
情满四合院,http://cn5.frp.vip:20007/yy/1382736888
双月之城-国漫,http://cn5.frp.vip:20007/yy/1382736907
【天龙八部】蓝光超清,http://cn5.frp.vip:20007/yy/28996058
德爷单挑荒野,http://cn5.frp.vip:20007/yy/27772604
经典动漫,http://cn5.frp.vip:20007/yy/24180320
案发现场（1-3）,http://cn5.frp.vip:20007/yy/31368110
经典港片电影,http://cn5.frp.vip:20007/yy/1382793140
gui片 group-title="YY直播"超好看,http://cn5.frp.vip:20007/yy/1382780025
【林正英】僵尸 gui片,http://cn5.frp.vip:20007/yy/30668277
无敌燕双鹰,http://cn5.frp.vip:20007/yy/1354825244
风筝,http://cn5.frp.vip:20007/yy/1382828770
【雪豹】超经典,http://cn5.frp.vip:20007/yy/1450496699
正阳门下小女人,http://cn5.frp.vip:20007/yy/1508778570
士兵突击,http://cn5.frp.vip:20007/yy/1382828766
读心神探,http://cn5.frp.vip:20007/yy/1382736875
记忆中的李连杰·····,http://cn5.frp.vip:20007/yy/1454390555
二龙湖浩哥【经典搞笑】,http://cn5.frp.vip:20007/yy/28205255
打狗棍,http://cn5.frp.vip:20007/yy/1354773122
经典港片 3000部,http://cn5.frp.vip:20007/yy/1353059120
送欢乐,http://cn5.frp.vip:20007/yy/34093016
皮蛋影视 正在直播,http://cn5.frp.vip:20007/yy/23055599
【动漫】斗罗斗破,http://cn5.frp.vip:20007/yy/1353098382
地下交通站,http://cn5.frp.vip:20007/yy/1382736795
战争 二战 《狙击电影》,http://cn5.frp.vip:20007/yy/1450828388
为什么你一直是单身,http://cn5.frp.vip:20007/yy/89431014
gui片.惊悚.港片,http://cn5.frp.vip:20007/yy/1355497884
三国演义94年经典版,http://cn5.frp.vip:20007/yy/1354936241
动漫,http://cn5.frp.vip:20007/yy/1382788679
怒海潜沙 &重启全集,http://cn5.frp.vip:20007/yy/1354744544
港剧《驼枪师姐》,http://cn5.frp.vip:20007/yy/1382688521
系列电视剧,http://cn5.frp.vip:20007/yy/1458015189
【电影】顶级动作电影,http://cn5.frp.vip:20007/yy/24923327
港片 喜剧 动作,http://cn5.frp.vip:20007/yy/1355480591
【港台】gui片 惊悚 喜剧,http://cn5.frp.vip:20007/yy/1351030377
动漫,http://cn5.frp.vip:20007/yy/1382747970
野山鹰-影视剧,http://cn5.frp.vip:20007/yy/1354932395
《神雕侠侣》黯然销魂,http://cn5.frp.vip:20007/yy/1394000563
女gui 绝版电影,http://cn5.frp.vip:20007/yy/1355479289
彭禺厶gui怪奇幻系列电影,http://cn5.frp.vip:20007/yy/1355249116
24小时循环播电视剧,http://cn5.frp.vip:20007/yy/53320802
花儿开心吧,http://cn5.frp.vip:20007/yy/1354930984
盗慕恐怖惊辣,http://cn5.frp.vip:20007/yy/1382748585
【战狼3】吴京首播,http://cn5.frp.vip:20007/yy/1354752072
林正英 九叔 僵尸 gui片,http://cn5.frp.vip:20007/yy/1382828957
高分港片电影,http://cn5.frp.vip:20007/yy/28099939
变形金刚,http://cn5.frp.vip:20007/yy/1382736803
布丁-玄幻电影正在直播,http://cn5.frp.vip:20007/yy/1455460998
绝版电影超好看,http://cn5.frp.vip:20007/yy/59719179
寻秦记-穿越剧经典,http://cn5.frp.vip:20007/yy/1382749900
【老九门】首播,http://cn5.frp.vip:20007/yy/1353877164
军旅电视剧,http://cn5.frp.vip:20007/yy/1352575322
唐朝gui事录24h陪你看,http://cn5.frp.vip:20007/yy/1355171357
风吹半夏,http://cn5.frp.vip:20007/yy/1354806550
燃爆动作片,http://cn5.frp.vip:20007/yy/1382736801
辽宁七七与你相见恨晚,http://cn5.frp.vip:20007/yy/1451760831
新主播，求照顾,http://cn5.frp.vip:20007/yy/1382690406
法证先锋Ⅱ,http://cn5.frp.vip:20007/yy/1354888736
(周星驰)超经典搞笑电影,http://cn5.frp.vip:20007/yy/29945997
康熙王朝,http://cn5.frp.vip:20007/yy/1382736818
斗罗斗破,http://cn5.frp.vip:20007/yy/1354768831
小敏,http://cn5.frp.vip:20007/yy/1382736890
西游记后传,http://cn5.frp.vip:20007/yy/1382736846
斗罗斗破动漫,http://cn5.frp.vip:20007/yy/1420843376
父母爱情,http://cn5.frp.vip:20007/yy/1382746276
【经典港片】佟瑶,http://cn5.frp.vip:20007/yy/23531261
第一滴血全集,http://cn5.frp.vip:20007/yy/1354932355
电影百团大战,http://cn5.frp.vip:20007/yy/1382736871
李连杰功夫 经典武侠,http://cn5.frp.vip:20007/yy/74613175
[ 经典] 鹿鼎记,http://cn5.frp.vip:20007/yy/1355526531
彭禺厶gui怪奇幻系列电影,http://cn5.frp.vip:20007/yy/1353200190
亲爱的热爱的,http://cn5.frp.vip:20007/yy/1354932433
洪金宝福星系列,http://cn5.frp.vip:20007/yy/1354924839
林正英 经典gui片,http://cn5.frp.vip:20007/yy/1353312849
开饭了大熊猫,http://cn5.frp.vip:20007/yy/1382741641
?逋鞠盗?-国产喜剧,http://cn5.frp.vip:20007/yy/1382736856
24H欧美惊悚科幻,http://cn5.frp.vip:20007/yy/1382656234
父母的爱情,http://cn5.frp.vip:20007/yy/1382768483
精彩玄幻电影,http://cn5.frp.vip:20007/yy/1382688400
我的体育老师,http://cn5.frp.vip:20007/yy/1382745169
血色浪漫,http://cn5.frp.vip:20007/yy/1354926676
张国荣与周润发的兄弟情,http://cn5.frp.vip:20007/yy/1354930961
赌神-发哥,http://cn5.frp.vip:20007/yy/1354889044
九品芝麻官包龙星,http://cn5.frp.vip:20007/yy/1354930968
法证先锋,http://cn5.frp.vip:20007/yy/1354930939
飞哥战队乐乐陪看,http://cn5.frp.vip:20007/yy/1352946111
且试天下（挣点窝囊钱）,http://cn5.frp.vip:20007/yy/1355544935
拆弹专家-刘德华,http://cn5.frp.vip:20007/yy/1382745111
澳门风云,http://cn5.frp.vip:20007/yy/1459243913
小欢喜,http://cn5.frp.vip:20007/yy/1382737888
与君初相识,http://cn5.frp.vip:20007/yy/1352833750
经典大片合集,http://cn5.frp.vip:20007/yy/1382749895
【义+】+奈奈新正在直播,http://cn5.frp.vip:20007/yy/1462815850
【义+】+奈奈新正在直播,http://cn5.frp.vip:20007/yy/1462815850
【与狼共舞】24h,http://cn5.frp.vip:20007/yy/1355917294
伪装者,http://cn5.frp.vip:20007/yy/1354936244
好先生,http://cn5.frp.vip:20007/yy/29067617
天下第一,http://cn5.frp.vip:20007/yy/1355554637
欢乐颂,http://cn5.frp.vip:20007/yy/1382735624
宫心计,http://cn5.frp.vip:20007/yy/1354932429
《安家》,http://cn5.frp.vip:20007/yy/12086226
仙剑奇侠传-神仙姐姐驾到,http://cn5.frp.vip:20007/yy/1382749903
二号交通站,http://cn5.frp.vip:20007/yy/1382735582
开心剧场《地下交通站》,http://cn5.frp.vip:20007/yy/29907996
案发现场全集,http://cn5.frp.vip:20007/yy/1354775242
今夜欢乐颂,http://cn5.frp.vip:20007/yy/1382735572
经典抗日电影,http://cn5.frp.vip:20007/yy/1354936141
战争大片,http://cn5.frp.vip:20007/yy/1382735556
妖魔gui怪 超好看,http://cn5.frp.vip:20007/yy/1459714870
我的前半生,http://cn5.frp.vip:20007/yy/1382735564
盗慕笔记gui灯,http://cn5.frp.vip:20007/yy/1382765507
情满四合院,http://cn5.frp.vip:20007/yy/1382736848
【电影】超然巨作,http://cn5.frp.vip:20007/yy/26623173
平凡岁月,http://cn5.frp.vip:20007/yy/1382745117
宝莲灯前传,http://cn5.frp.vip:20007/yy/1354931631
灌篮高手 正在直播,http://cn5.frp.vip:20007/yy/1351417866
锦绣未央,http://cn5.frp.vip:20007/yy/36568220
魔幻手机,http://cn5.frp.vip:20007/yy/1382735544
木乃伊全集,http://cn5.frp.vip:20007/yy/1354889024
枕上书正在直播,http://cn5.frp.vip:20007/yy/1351844200
三国演义【1994】,http://cn5.frp.vip:20007/yy/1354930932
【电视剧】天下第一,http://cn5.frp.vip:20007/yy/1354780649
精彩动漫斗罗斗破,http://cn5.frp.vip:20007/yy/76101626
五号特工组,http://cn5.frp.vip:20007/yy/1507704566
热血战争巨作,http://cn5.frp.vip:20007/yy/1382745087
三国演义,http://cn5.frp.vip:20007/yy/32788000
中国味道 第4季-美食纪录片,http://cn5.frp.vip:20007/yy/1382736845
动漫,http://cn5.frp.vip:20007/yy/23993334
24小时播放,http://cn5.frp.vip:20007/yy/29067083
金婚,http://cn5.frp.vip:20007/yy/1382736832
TVB古装 经典金庸剧,http://cn5.frp.vip:20007/yy/1355326475
【玄幻电影】,http://cn5.frp.vip:20007/yy/1355065896
【动漫】斗罗斗破超清全屏,http://cn5.frp.vip:20007/yy/1382689904
粉红女郎,http://cn5.frp.vip:20007/yy/1354888671
你最爱的宋小宝,http://cn5.frp.vip:20007/yy/1354936198
绝版gui片 超恐怖,http://cn5.frp.vip:20007/yy/1382788850
【狂飙】4K,http://cn5.frp.vip:20007/yy/1382773728
家花与野花,http://cn5.frp.vip:20007/yy/1354420982
超级无敌吓人大片,http://cn5.frp.vip:20007/yy/1354952229
24小时小雅陪你看,http://cn5.frp.vip:20007/yy/1331686180
动作大片-热血开打,http://cn5.frp.vip:20007/yy/1354936168
院线动作大片,http://cn5.frp.vip:20007/yy/1382736900
大进军全集：红色系列电影,http://cn5.frp.vip:20007/yy/1382745083
国外科幻,http://cn5.frp.vip:20007/yy/1382736800
国内喜剧,http://cn5.frp.vip:20007/yy/1382736862
成龙系列,http://cn5.frp.vip:20007/yy/1354888751
夏洛特烦恼-国内电影-喜剧,http://cn5.frp.vip:20007/yy/1354936201
【案发现场】1-4部全集,http://cn5.frp.vip:20007/yy/33567888
战狼7吴京退役,http://cn5.frp.vip:20007/yy/1382773714
福贵,http://cn5.frp.vip:20007/yy/1354926537
高分科幻动作片,http://cn5.frp.vip:20007/yy/1382749948
国威影院 仙侠系列,http://cn5.frp.vip:20007/yy/1354866665
【爱靓】虎子gui片,http://cn5.frp.vip:20007/yy/1356075628
欢乐集结号,http://cn5.frp.vip:20007/yy/1354931582
战狼10086,http://cn5.frp.vip:20007/yy/1382773686
大话西游至尊宝,http://cn5.frp.vip:20007/yy/1382736910
科幻电影,http://cn5.frp.vip:20007/yy/1354930209
影视剧场,http://cn5.frp.vip:20007/yy/1355260855
最美的青春,http://cn5.frp.vip:20007/yy/1382745116
贾玲春晚小品,http://cn5.frp.vip:20007/yy/1382736720
武林外传-超清下饭剧,http://cn5.frp.vip:20007/yy/1353085648
熊出没之探险日记S1-国漫,http://cn5.frp.vip:20007/yy/1354930977
国内喜剧,http://cn5.frp.vip:20007/yy/1382735563
热血动作电影,http://cn5.frp.vip:20007/yy/1382736804
倚天屠龙记,http://cn5.frp.vip:20007/yy/1382818085
超英集结,http://cn5.frp.vip:20007/yy/1382745091
热血抗日电影,http://cn5.frp.vip:20007/yy/1382749907
鹿鼎记,http://cn5.frp.vip:20007/yy/1356059275
我爱我家,http://cn5.frp.vip:20007/yy/1382735557
聊斋志异S1,http://cn5.frp.vip:20007/yy/1382736975
生逢灿烂的日子,http://cn5.frp.vip:20007/yy/1382745085
易中天品三国,http://cn5.frp.vip:20007/yy/1354931498
新世界,http://cn5.frp.vip:20007/yy/1382736850
欢乐一起看,http://cn5.frp.vip:20007/yy/1354930926
大汉贤后卫子夫,http://cn5.frp.vip:20007/yy/1382735569
灌篮高手,http://cn5.frp.vip:20007/yy/1382735626
宋小宝小品合集,http://cn5.frp.vip:20007/yy/1354931577
经典搞笑影片,http://cn5.frp.vip:20007/yy/1382749878
倚天屠龙记,http://cn5.frp.vip:20007/yy/33300793
小甜甜 勇敢的心,http://cn5.frp.vip:20007/yy/1382658790
【科幻】超炫特效,http://cn5.frp.vip:20007/yy/37988782
炊事班的故事III,http://cn5.frp.vip:20007/yy/1382736716
你所喜欢的颖宝,http://cn5.frp.vip:20007/yy/1456829119
宫心计,http://cn5.frp.vip:20007/yy/1382828769
本山快乐营1,http://cn5.frp.vip:20007/yy/1354936209
宋小宝春晚小品合集,http://cn5.frp.vip:20007/yy/1382736866
最可爱的人,http://cn5.frp.vip:20007/yy/1382779528
法证先锋2,http://cn5.frp.vip:20007/yy/1382736870
香港院线大片-最新,http://cn5.frp.vip:20007/yy/1354936242
传奇英雄,http://cn5.frp.vip:20007/yy/1382735578
漫威超级英雄系列,http://cn5.frp.vip:20007/yy/1354932402
非诚勿扰,http://cn5.frp.vip:20007/yy/1382745100
炊事班的故事II,http://cn5.frp.vip:20007/yy/1382736885
少年包青天三,http://cn5.frp.vip:20007/yy/61318527
人生必看的科幻片,http://cn5.frp.vip:20007/yy/1382745114
Mgroup-title="YY直播"正在直播,http://cn5.frp.vip:20007/yy/1352956876
地下交通站,http://cn5.frp.vip:20007/yy/37880083
插翅难逃,http://cn5.frp.vip:20007/yy/1355279371
科幻片：来看神奇的地球,http://cn5.frp.vip:20007/yy/1354930897
陈情令,http://cn5.frp.vip:20007/yy/1382745121
你看与不看我都在,http://cn5.frp.vip:20007/yy/1353422557
战争大片,http://cn5.frp.vip:20007/yy/1382736819
【动漫】斗罗斗破,http://cn5.frp.vip:20007/yy/35742228
降服魔女的手段-泰剧,http://cn5.frp.vip:20007/yy/1354932405
【微笑百事达】王心凌,http://cn5.frp.vip:20007/yy/23458682
怀旧好电影,http://cn5.frp.vip:20007/yy/1382627144
金婚,http://cn5.frp.vip:20007/yy/1382828768
动漫奥斯卡正在直播,http://cn5.frp.vip:20007/yy/1382626335
现代军旅,http://cn5.frp.vip:20007/yy/1382830638
【周星驰】星爷 喜剧,http://cn5.frp.vip:20007/yy/21092633
东北姑娘陪你看动漫,http://cn5.frp.vip:20007/yy/1382609850
天龙神雕经典回忆,http://cn5.frp.vip:20007/yy/68260522
【请进来观看】,http://cn5.frp.vip:20007/yy/37033366
主播-求关注.24小时,http://cn5.frp.vip:20007/yy/1456625255
X战警系列电影,http://cn5.frp.vip:20007/yy/1382736893
战争大片-国外电影,http://cn5.frp.vip:20007/yy/1382736857
舌尖上的中国第2季,http://cn5.frp.vip:20007/yy/1354930943
临界婚姻,http://cn5.frp.vip:20007/yy/1354932365
河山,http://cn5.frp.vip:20007/yy/1382749952
毒液：致命守护者,http://cn5.frp.vip:20007/yy/1382745095
单挑荒野第一季,http://cn5.frp.vip:20007/yy/1354933535
铭记历史-甲午大海战,http://cn5.frp.vip:20007/yy/1354936195
欢乐集结号3,http://cn5.frp.vip:20007/yy/1382736822
九亿少女的噩梦,http://cn5.frp.vip:20007/yy/1354921392
远去的飞鹰-影视剧,http://cn5.frp.vip:20007/yy/1354930912
忠烈杨家将,http://cn5.frp.vip:20007/yy/1382749909
天龙八部,http://cn5.frp.vip:20007/yy/1382749944
渴望,http://cn5.frp.vip:20007/yy/1354930963
热门喜剧,http://cn5.frp.vip:20007/yy/1354931495
买车前看一看 不然血亏,http://cn5.frp.vip:20007/yy/1349602814
发哥系列,http://cn5.frp.vip:20007/yy/1354888733
欢乐集结号,http://cn5.frp.vip:20007/yy/1382735550
岳云鹏-屌丝也能追到美女,http://cn5.frp.vip:20007/yy/1382736882
超炫科幻大片,http://cn5.frp.vip:20007/yy/1382736840
密子君,http://cn5.frp.vip:20007/yy/1382736717
剩女李夏天的求爱之路,http://cn5.frp.vip:20007/yy/1382749910
高分动作大片-热血出击,http://cn5.frp.vip:20007/yy/1382736909
射雕英雄传之铁血丹心,http://cn5.frp.vip:20007/yy/25221556
经典电影 电视剧,http://cn5.frp.vip:20007/yy/1354690927
无敌县令,http://cn5.frp.vip:20007/yy/1354932390
小宝让你乐翻天：6到9集,http://cn5.frp.vip:20007/yy/1354930971
风靡全球的谍战片,http://cn5.frp.vip:20007/yy/1382736817
小戏骨黄飞鸿,http://cn5.frp.vip:20007/yy/1354936181
珍珠港-电影,http://cn5.frp.vip:20007/yy/1354936234
恐怖女gui来找你,http://cn5.frp.vip:20007/yy/32326398
大明王朝,http://cn5.frp.vip:20007/yy/1382736879
超精彩武打场景,http://cn5.frp.vip:20007/yy/1354936131
西游记张卫健版,http://cn5.frp.vip:20007/yy/1354936155
国内战争大片合集,http://cn5.frp.vip:20007/yy/1382749950
十大经典港剧之《大时代》,http://cn5.frp.vip:20007/yy/1354930891
飞虎之潜行极战,http://cn5.frp.vip:20007/yy/1354932420
超级英雄系列电影,http://cn5.frp.vip:20007/yy/1382736863
体验另一种生活！,http://cn5.frp.vip:20007/yy/1354936229
风味原产地潮汕,http://cn5.frp.vip:20007/yy/1382745178
欢天喜地七仙女,http://cn5.frp.vip:20007/yy/1382735553
请回答1988,http://cn5.frp.vip:20007/yy/1354932362
丛林敢死队-国内电影,http://cn5.frp.vip:20007/yy/1354936214
末日系列-外国电影合集,http://cn5.frp.vip:20007/yy/1354889019
金庸武侠系列,http://cn5.frp.vip:20007/yy/40959929
战火中的故事,http://cn5.frp.vip:20007/yy/1382735625
科幻大片,http://cn5.frp.vip:20007/yy/1382745181
田园生活,http://cn5.frp.vip:20007/yy/1382736898
动物世界-领略原始野行,http://cn5.frp.vip:20007/yy/1382743138
农家小菜,http://cn5.frp.vip:20007/yy/1382736894
姜喜宝绝版gui片 正在直播,http://cn5.frp.vip:20007/yy/1355171231
狂飙,http://cn5.frp.vip:20007/yy/14072363
钟馗传说,http://cn5.frp.vip:20007/yy/1382736839
超燃动作大片,http://cn5.frp.vip:20007/yy/1382749940
金星脱口秀：我敢说你敢听吗,http://cn5.frp.vip:20007/yy/1382735552
漫威十年老粉福利来了,http://cn5.frp.vip:20007/yy/1354930233
空谷幽兰,http://cn5.frp.vip:20007/yy/1382745182
冰冻星球-纪录片,http://cn5.frp.vip:20007/yy/1382736849
妖神记之黑狱篇,http://cn5.frp.vip:20007/yy/1382745173
洪大哥系列,http://cn5.frp.vip:20007/yy/1354888743
粟裕大将-影视,http://cn5.frp.vip:20007/yy/1354926542
小米粒Mili,http://cn5.frp.vip:20007/yy/1382736842
将夜夫子化月,http://cn5.frp.vip:20007/yy/36949900
黑冰,http://cn5.frp.vip:20007/yy/1354932427
热血动作片合集,http://cn5.frp.vip:20007/yy/1382735627
给孩子补补榜吧,http://cn5.frp.vip:20007/yy/1354887058
怀旧小品,http://cn5.frp.vip:20007/yy/1382736821
国产喜剧,http://cn5.frp.vip:20007/yy/1382735584
再向虎山行,http://cn5.frp.vip:20007/yy/1355823667
国外黑色喜剧：冷幽默小剧场,http://cn5.frp.vip:20007/yy/1382745175
天龙八部（国语版）,http://cn5.frp.vip:20007/yy/1382736855
动物世界,http://cn5.frp.vip:20007/yy/1382749889
超激烈的猎食场面,http://cn5.frp.vip:20007/yy/1382749898
